# p15_r-15,p15_r0,p15_r15,p15_r45,p25_r0,p45_r-15,p45_r0,p45_r15,p45_r45,p65_r0,p0_r0,
1241,321,243,100,273,63,20,104,50,136,199,2750
249,1055,358,51,723,32,91,74,17,17,83,
3,372,1426,135,456,66,64,118,83,27,0,
96,4,0,2097,0,32,10,0,456,23,32,
33,340,395,0,1420,100,216,125,69,0,52,
153,26,151,0,244,1165,536,144,0,328,3,
71,1,43,0,261,419,894,469,78,514,0,
118,9,189,3,285,247,549,965,197,134,54,
51,49,229,688,0,12,6,153,1411,100,51,
109,1,0,70,7,433,343,121,98,1478,90,
290,146,47,188,46,56,42,48,244,100,1543,
,,,,,,,,,,,
,,,,,,,,,,,
0.451272727,0.116727273,0.088363636,0.036363636,0.099272727,0.022909091,0.007272727,0.037818182,0.018181818,0.049454545,0.072363636,
0.090545455,0.383636364,0.130181818,0.018545455,0.262909091,0.011636364,0.033090909,0.026909091,0.006181818,0.006181818,0.030181818,
0.001090909,0.135272727,0.518545455,0.049090909,0.165818182,0.024,0.023272727,0.042909091,0.030181818,0.009818182,0,
0.034909091,0.001454545,0,0.762545455,0,0.011636364,0.003636364,0,0.165818182,0.008363636,0.011636364,
0.012,0.123636364,0.143636364,0,0.516363636,0.036363636,0.078545455,0.045454545,0.025090909,0,0.018909091,
0.055636364,0.009454545,0.054909091,0,0.088727273,0.423636364,0.194909091,0.052363636,0,0.119272727,0.001090909,
0.025818182,0.000363636,0.015636364,0,0.094909091,0.152363636,0.325090909,0.170545455,0.028363636,0.186909091,0,
0.042909091,0.003272727,0.068727273,0.001090909,0.103636364,0.089818182,0.199636364,0.350909091,0.071636364,0.048727273,0.019636364,
0.018545455,0.017818182,0.083272727,0.250181818,0,0.004363636,0.002181818,0.055636364,0.513090909,0.036363636,0.018545455,
0.039636364,0.000363636,0,0.025454545,0.002545455,0.157454545,0.124727273,0.044,0.035636364,0.537454545,0.032727273,
0.105454545,0.053090909,0.017090909,0.068363636,0.016727273,0.020363636,0.015272727,0.017454545,0.088727273,0.036363636,0.561090909,